출발지,출발지 광역지자체,출발지 기초지자체,출발지 위도,출발지 경도,도착지,도착지 광역지자체,도착지 기초지자체,도착지 위도,도착지 경도,요금(고속),요금(우등),요금(프리미엄),요금(심야고속),요금(심야우등),요금(심야프리미엄)
가톨릭관동대강릉,강원도,강릉시,37.73935919,128.8804349,서울경부,서울특별시,서초구,37.50619217,127.007451,16600,24400,31700,19900,29200,38000
강릉,강원도,강릉시,37.75468042,128.8788757,고양백석,경기도,고양시 일산동구,37.64327521,126.7897588,18100,26600,0,19900,31900,0
강릉,강원도,강릉시,37.75468042,128.8788757,동서울,서울특별시,광진구,37.53460761,127.0941883,15600,22800,29600,18700,27300,35500
강릉,강원도,강릉시,37.75468042,128.8788757,서울경부,서울특별시,서초구,37.50619217,127.007451,16700,24600,31900,20000,29500,38200
강릉,강원도,강릉시,37.75468042,128.8788757,횡성(휴)상행,강원도,횡성군,37.4627881,128.1345995,6700,9700,0,0,0,0
강진,전라남도,강진군,34.6385508,126.7678733,나주혁신,전라남도,나주시,35.01682149,126.7844769,0,0,0,0,15100,19600
강진,전라남도,강진군,34.6385508,126.7678733,센트럴시티(서울),서울특별시,서초구,37.50619217,127.007451,33100,40200,50100,0,0,0
강진,전라남도,강진군,34.6385508,126.7678733,인천공항T1,인천광역시,중구,37.44673742,126.4553059,0,0,0,0,68000,88400
강진,전라남도,강진군,34.6385508,126.7678733,인천공항T2,인천광역시,중구,37.46576234,126.4318247,0,0,0,0,68000,88400
경북도청,경상북도,안동시,36.57059118,128.5001949,서울경부,서울특별시,서초구,37.50619217,127.007451,0,27000,0,0,0,0
경주,경상북도,경주시,35.83980001,129.2024687,낙동강(휴)상행,경상북도,의성군,36.3468501,128.2934102,7500,11300,0,0,0,0
경주,경상북도,경주시,35.83980001,129.2024687,서울경부,서울특별시,서초구,37.50619217,127.007451,22700,33600,43600,27200,40300,52300
경포해변,강원도,강릉시,37.80340551,128.9102102,서울경부,서울특별시,서초구,37.50619217,127.007451,17100,25200,32700,20500,30200,39200
경포해변,강원도,강릉시,37.80340551,128.9102102,횡성(휴)상행,강원도,횡성군,37.4627881,128.1345995,0,10300,0,0,0,0
고대조치원,세종특별자치시,,36.60197325,127.3026088,서울경부,서울특별시,서초구,37.50619217,127.007451,10700,14000,0,12800,16800,0
고양백석,경기도,고양시 일산동구,37.64327521,126.7897588,강릉,강원도,강릉시,37.75468042,128.8788757,18100,26600,0,19900,31900,0
고양백석,경기도,고양시 일산동구,37.64327521,126.7897588,광주(유·스퀘어),광주광역시,서구,35.1604031,126.8793103,0,38300,0,0,45900,0
고양백석,경기도,고양시 일산동구,37.64327521,126.7897588,전주고속터미널,전라북도,전주시 덕진구,35.83450993,127.1292206,17800,26100,0,21300,31300,0
고양백석,경기도,고양시 일산동구,37.64327521,126.7897588,정안(휴)하행,충청남도,공주시,36.5678445,127.1141772,11000,16100,0,0,0,0
고양백석,경기도,고양시 일산동구,37.64327521,126.7897588,주문진,강원도,강릉시,37.8843703,128.8255224,16900,24900,0,20200,29800,0
고양백석,경기도,고양시 일산동구,37.64327521,126.7897588,충주,충청북도,충주시,36.98204148,127.9148855,12100,17700,0,0,0,0
고창,전라북도,고창군,35.43800679,126.6939543,센트럴시티(서울),서울특별시,서초구,37.50619217,127.007451,19000,24700,0,0,0,0
고창,전라북도,고창군,35.43800679,126.6939543,안산,경기도,안산시 상록구,37.31684779,126.8462698,25300,32900,42700,30300,39400,51200
고창,전라북도,고창군,35.43800679,126.6939543,인천,인천광역시,미추홀구,37.44177704,126.7014809,27700,36000,46800,33200,43200,56100
고창,전라북도,고창군,35.43800679,126.6939543,인천공항T1,인천광역시,중구,37.44673742,126.4553059,0,42500,57200,0,51000,68600
고창,전라북도,고창군,35.43800679,126.6939543,인천공항T2,인천광역시,중구,37.46576234,126.4318247,0,42500,57200,0,51000,68600
고창,전라북도,고창군,35.43800679,126.6939543,정안(휴)상행,충청남도,공주시,36.5694881,127.1151662,10900,14200,0,0,0,0
고흥,전라남도,고흥군,34.60740511,127.2810607,센트럴시티(서울),서울특별시,서초구,37.50619217,127.007451,26400,39200,50900,0,0,61000
고흥,전라남도,고흥군,34.60740511,127.2810607,정안(휴)상행,충청남도,공주시,36.5694881,127.1151662,18100,27100,0,0,0,0
공주,충청남도,공주시,36.46857368,127.134758,광주(유·스퀘어),광주광역시,서구,35.1604031,126.8793103,14300,18600,0,0,0,0
공주,충청남도,공주시,36.46857368,127.134758,목포,전라남도,목포시,34.81274021,126.4178119,0,27700,0,0,0,0
공주,충청남도,공주시,36.46857368,127.134758,서울경부,서울특별시,서초구,37.50619217,127.007451,9300,13700,17800,11100,16400,21300
광양,전라남도,광양시,34.96971727,127.5899837,부산,부산광역시,사상구,35.16323947,128.9825254,0,19100,24800,0,22900,29800
광양,전라남도,광양시,34.96971727,127.5899837,센트럴시티(서울),서울특별시,서초구,37.50619217,127.007451,23400,34700,45100,0,0,0
