출발역 이름,출발역 광역지자체,출발역 기초지자체,출발역 위도,출발역 경도,도착역 이름,도착역 광역지자체,도착역 기초지자체,도착역 위도,도착역 경도,요금
강경,충청남도,논산시,36.15424361,127.0155232,곡성,전라남도,곡성군,35.2836103,127.3036839,8100
강경,충청남도,논산시,36.15424361,127.0155232,광주,광주광역시,북구,35.16530024,126.9093335,8900
강경,충청남도,논산시,36.15424361,127.0155232,광주송정,광주광역시,광산구,35.13766751,126.790805,8100
강경,충청남도,논산시,36.15424361,127.0155232,구례구,전라남도,순천시,35.1634297,127.4525786,9400
강경,충청남도,논산시,36.15424361,127.0155232,극락강,광주광역시,광산구,35.1761812,126.8302949,8400
강경,충청남도,논산시,36.15424361,127.0155232,김제,전라북도,김제시,35.79248017,126.902986,2900
강경,충청남도,논산시,36.15424361,127.0155232,나주,전라남도,나주시,35.01407834,126.7171749,9100
강경,충청남도,논산시,36.15424361,127.0155232,남원,전라북도,남원시,35.41123171,127.36139,6900
강경,충청남도,논산시,36.15424361,127.0155232,능주,전라남도,화순군,34.98668588,126.9639924,10200
강경,충청남도,논산시,36.15424361,127.0155232,다시,전라남도,나주시,35.01667787,126.6411257,9600
강경,충청남도,논산시,36.15424361,127.0155232,득량,전라남도,보성군,34.7614922,127.1701628,12900
강경,충청남도,논산시,36.15424361,127.0155232,명봉,전라남도,보성군,34.82787046,127.0754666,11800
강경,충청남도,논산시,36.15424361,127.0155232,목포,전라남도,목포시,34.79113446,126.3865755,12400
강경,충청남도,논산시,36.15424361,127.0155232,몽탄,전라남도,무안군,34.92986522,126.5032265,11000
강경,충청남도,논산시,36.15424361,127.0155232,무안,전라남도,무안군,34.96271635,126.5169426,10700
강경,충청남도,논산시,36.15424361,127.0155232,백양사,전라남도,장성군,35.43139575,126.8080975,5700
강경,충청남도,논산시,36.15424361,127.0155232,벌교,전라남도,보성군,34.84204261,127.3453052,14200
강경,충청남도,논산시,36.15424361,127.0155232,보성,전라남도,보성군,34.76703189,127.0816462,12300
강경,충청남도,논산시,36.15424361,127.0155232,삼례,전라북도,완주군,35.9042244,127.066266,2600
강경,충청남도,논산시,36.15424361,127.0155232,서광주,광주광역시,서구,35.12531641,126.8470984,8400
강경,충청남도,논산시,36.15424361,127.0155232,순천,전라남도,순천시,34.9458018,127.5030853,13450
강경,충청남도,논산시,36.15424361,127.0155232,신태인,전라북도,정읍시,35.68799552,126.8844467,3700
강경,충청남도,논산시,36.15424361,127.0155232,여수EXPO,전라남도,여수시,34.75306664,127.7486407,13500
강경,충청남도,논산시,36.15424361,127.0155232,여천,전라남도,여수시,34.77913289,127.6641677,12800
강경,충청남도,논산시,36.15424361,127.0155232,예당,전라남도,보성군,34.77864927,127.2022956,13200
강경,충청남도,논산시,36.15424361,127.0155232,오수,전라북도,임실군,35.5429081,127.3205767,5900
강경,충청남도,논산시,36.15424361,127.0155232,이양,전라남도,화순군,34.8916083,126.9897559,10900
강경,충청남도,논산시,36.15424361,127.0155232,익산,전라북도,익산시,35.94053258,126.9457173,2600
강경,충청남도,논산시,36.15424361,127.0155232,일로,전라남도,무안군,34.84844236,126.4777239,11600
강경,충청남도,논산시,36.15424361,127.0155232,임성리,전라남도,목포시,34.82071561,126.4349908,12000
강경,충청남도,논산시,36.15424361,127.0155232,임실,전라북도,임실군,35.63292561,127.2899234,5200
강경,충청남도,논산시,36.15424361,127.0155232,장성,전라남도,장성군,35.30002217,126.7801939,6700
