출발역 이름,출발역 광역지자체,출발역 기초지자체,출발역 위도,출발역 경도,도착역 이름,도착역 광역지자체,도착역 기초지자체,도착역 위도,도착역 경도,요금(일반실),요금(특실)
경산,경상북도,경산시,35.8193643,128.7276182,광명,경기도,광명시,37.41619623,126.8846812,37800,54800
경산,경상북도,경산시,35.8193643,128.7276182,구포,부산광역시,북구,35.20548095,128.997114,8500,12300
경산,경상북도,경산시,35.8193643,128.7276182,김천구미,경상북도,김천시,36.11282841,128.1820556,8300,12000
경산,경상북도,경산시,35.8193643,128.7276182,대전,대전광역시,동구,36.33229415,127.4346445,18700,27100
경산,경상북도,경산시,35.8193643,128.7276182,동대구,대구광역시,동구,35.87932399,128.6283938,7500,10900
경산,경상북도,경산시,35.8193643,128.7276182,물금,경상남도,양산시,35.30715588,128.9853192,7500,10900
경산,경상북도,경산시,35.8193643,128.7276182,밀양,경상남도,밀양시,35.47452401,128.7711928,7500,10900
경산,경상북도,경산시,35.8193643,128.7276182,부산,부산광역시,동구,35.11520341,129.0415499,10200,14800
경산,경상북도,경산시,35.8193643,128.7276182,서울,서울특별시,용산구,37.55406889,126.9707034,39900,57900
경산,경상북도,경산시,35.8193643,128.7276182,오송,충청북도,청주시 흥덕구,36.62008671,127.3276033,23400,33900
경산,경상북도,경산시,35.8193643,128.7276182,천안아산,충청남도,아산시,36.7943447,127.1044438,27500,39900
경주,경상북도,경주시,35.79837725,129.1389994,광명,경기도,광명시,37.41619623,126.8846812,42200,61200
경주,경상북도,경주시,35.79837725,129.1389994,김천구미,경상북도,김천시,36.11282841,128.1820556,12667,18400
경주,경상북도,경주시,35.79837725,129.1389994,대전,대전광역시,동구,36.33229415,127.4346445,23000,33367
경주,경상북도,경주시,35.79837725,129.1389994,동대구,대구광역시,동구,35.87932399,128.6283938,7500,10900
경주,경상북도,경주시,35.79837725,129.1389994,동탄,경기도,화성시 동탄구,37.19994276,127.0957376,38000,55100
경주,경상북도,경주시,35.79837725,129.1389994,부산,부산광역시,동구,35.11520341,129.0415499,10100,14600
경주,경상북도,경주시,35.79837725,129.1389994,서대구,대구광역시,서구,35.88134695,128.540007,7500,10900
경주,경상북도,경주시,35.79837725,129.1389994,서울,서울특별시,용산구,37.55406889,126.9707034,44300,64200
경주,경상북도,경주시,35.79837725,129.1389994,수서,서울특별시,강남구,37.48549613,127.1043706,42550,61700
경주,경상북도,경주시,35.79837725,129.1389994,오송,충청북도,청주시 흥덕구,36.62008671,127.3276033,27600,40033
경주,경상북도,경주시,35.79837725,129.1389994,울산,울산광역시,울주군,35.55142714,129.1385985,7500,10900
경주,경상북도,경주시,35.79837725,129.1389994,천안아산,충청남도,아산시,36.7943447,127.1044438,31667,45900
경주,경상북도,경주시,35.79837725,129.1389994,평택지제,경기도,평택시,37.01878181,127.0698327,35100,50900
곡성,전라남도,곡성군,35.2836103,127.3036839,공주,충청남도,공주시,36.3324865,127.0968327,15400,22300
곡성,전라남도,곡성군,35.2836103,127.3036839,구례구,전라남도,순천시,35.1634297,127.4525786,7500,10900
곡성,전라남도,곡성군,35.2836103,127.3036839,남원,전라북도,남원시,35.41123171,127.36139,7500,10900
곡성,전라남도,곡성군,35.2836103,127.3036839,동탄,경기도,화성시 동탄구,37.19994276,127.0957376,32200,46700
곡성,전라남도,곡성군,35.2836103,127.3036839,수서,서울특별시,강남구,37.48549613,127.1043706,36700,53200
곡성,전라남도,곡성군,35.2836103,127.3036839,순천,전라남도,순천시,34.9458018,127.5030853,7500,10900
곡성,전라남도,곡성군,35.2836103,127.3036839,여수EXPO,전라남도,여수시,34.75338071,127.7487232,8200,11900
곡성,전라남도,곡성군,35.2836103,127.3036839,여천,전라남도,여수시,34.77913289,127.6641677,7500,10900
곡성,전라남도,곡성군,35.2836103,127.3036839,오송,충청북도,청주시 흥덕구,36.62008671,127.3276033,21600,31300
곡성,전라남도,곡성군,35.2836103,127.3036839,익산,전라북도,익산시,35.94053258,126.9457173,9600,13900
곡성,전라남도,곡성군,35.2836103,127.3036839,전주,전라북도,전주시 덕진구,35.84985312,127.1618034,7500,10900
곡성,전라남도,곡성군,35.2836103,127.3036839,천안아산,충청남도,아산시,36.7943447,127.1044438,25600,37100
곡성,전라남도,곡성군,35.2836103,127.3036839,평택지제,경기도,평택시,37.01878181,127.0698327,29100,42200
공주,충청남도,공주시,36.3324865,127.0968327,곡성,전라남도,곡성군,35.2836103,127.3036839,15400,22300
공주,충청남도,공주시,36.3324865,127.0968327,광주송정,광주광역시,광산구,35.13766751,126.790805,19400,28100
공주,충청남도,공주시,36.3324865,127.0968327,구례구,전라남도,순천시,35.1634297,127.4525786,17200,24900
공주,충청남도,공주시,36.3324865,127.0968327,나주,전라남도,나주시,35.01407834,126.7171749,20900,30300
공주,충청남도,공주시,36.3324865,127.0968327,남원,전라북도,남원시,35.41123171,127.36139,13700,19900
공주,충청남도,공주시,36.3324865,127.0968327,동탄,경기도,화성시 동탄구,37.19994276,127.0957376,17000,24700
공주,충청남도,공주시,36.3324865,127.0968327,목포,전라남도,목포시,34.79113446,126.3865755,25400,36800
공주,충청남도,공주시,36.3324865,127.0968327,수서,서울특별시,강남구,37.48549613,127.1043706,21600,31300
